# This file was created using create_datpin_files.R function write_tsDatFile
      #and used all inputs from csv files found in folder:
      #hydradata/data-raw
# Survey index data 
# Number of observations, init_int Nsurvey_obs
  833
# init_matrix obs_survey_biomass(1,Nsurvey_obs,1,5)
# survey year spp value cv
1 1 7 89247.12  0.213
2 1 7 9995.15 0.254
1 2 7 111134.58 0.222
2 2 7 11753.74  0.188
1 3 7 30623.65  0.394
2 3 7 50308.7 0.424
1 4 7 138845.65 0.31
2 4 7 157535.72 0.327
1 5 7 67295.71  0.379
2 5 7 25320.03  0.391
1 6 7 228706.2  0.494
2 6 7 25772.32  0.376
1 7 7 162479.02 0.759
2 7 7 28108.97  0.665
1 8 7 176197.6  0.383
2 8 7 50443.76  0.434
1 9 7 167405.04 0.489
2 9 7 58373.3 0.392
1 10  7 142219.51 0.382
2 10  7 95540.95  0.334
1 11  7 140316.01 0.567
2 11  7 141665.19 0.868
1 12  7 73534.87  0.382
2 12  7 28103.98  0.445
1 13  7 325835.39 0.438
2 13  7 332752.01 0.947
1 14  7 160546.43 0.482
2 14  7 69665.21  0.377
1 15  7 356504.71 0.421
2 15  7 94275.98  0.615
1 16  7 142314.49 0.515
2 16  7 131338.5  0.704
1 17  7 55559.09  0.56
2 17  7 59570.34  0.32
1 18  7 95967.9 0.479
2 18  7 52551.9 0.414
1 19  7 103830.3  0.429
2 19  7 86399.31  0.388
1 20  7 130608.6  0.477
2 20  7 95588.52  0.316
1 21  7 344527.48 0.411
2 21  7 106123.85 0.63
1 22  7 151939.01 0.295
2 22  7 87016.72  0.335
1 23  7 80397.5 0.477
2 23  7 12762.34  0.408
1 24  7 259418.84 0.385
2 24  7 7953.11 0.43
1 25  7 127568.45 0.333
2 25  7 126597.56 0.844
1 26  7 165479.2  0.685
2 26  7 25036.67  0.43
1 27  7 118164.39 0.287
2 27  7 5456.86 0.813
1 28  7 500351.97 0.372
2 28  7 15257.42  0.533
1 29  7 265122.95 0.593
2 29  7 15651.63  0.59
1 30  7 210241.83 0.374
2 30  7 4942.25 0.702
1 31  7 235384.5  0.304
2 31  7 1121.74 0.211
3 32  7 115137.25 0.234
4 32  7 1435.21 0.33
3 33  7 170784.22 0.27
4 33  7 859.1 0.46
3 34  7 128129.75 0.35
4 34  7 6538.75 0.838
3 35  7 778185.88 0.343
4 35  7 1785.85 0.292
3 36  7 339907.8  0.262
4 36  7 1600.78 0.425
3 37  7 173454.51 0.417
4 37  7 128723.56 0.288
3 38  7 153832.63 0.441
4 38  7 2123.51 0.867
3 39  7 182687.98 0.495
4 39  7 130235.32 0.557
3 40  7 105777.31 0.238
4 40  7 282.75  0.295
3 41  7 172195.37 0.327
4 41  7 46056.38  0.994
3 42  7 339645.54 0.368
4 42  7 322.44  0.462
1 1 9 31637.05  0.151
2 1 9 46702.24  0.609
1 2 9 45641.12  0.194
2 2 9 10625.12  0.209
1 3 9 38217.55  0.193
2 3 9 16274.74  0.223
1 4 9 47291.24  0.243
2 4 9 19615.03  0.216
1 5 9 60577.07  0.242
