# This file was created using create_datpin_files.R function write_tsDatFile
      #and used all inputs from csv files found in folder:
      #hydradata/data-raw
# Survey index data 
# Number of observations, init_int Nsurvey_obs
  1030
# init_matrix obs_survey_biomass(1,Nsurvey_obs,1,5)
# survey year spp value cv
  1 1 7 15860.0962464266 0.398006743250428
  2 1 7 582.741915094636 0.336381549721884
  1 2 7 8840.60042328184 0.423031540310087
  2 2 7 2679.66176629198 0.427181291873738
  1 3 7 19066.4047053015 0.312846325599055
  2 3 7 35980.0085091251 0.921330608626918
  1 4 7 13380.1347878302 0.509293527849453
  2 4 7 1783.72892918673 0.256700819887441
  1 5 7 30354.4202835986 0.454433826222346
  2 5 7 13677.3635503952 0.348492498672165
  1 6 7 102462.485161739 0.477129057625943
  2 6 7 23141.8122138066 0.347399945148496
  1 7 7 13063.5669457326 0.588154275605873
  2 7 7 26092.2498488631 0.337472166654487
  1 8 7 53010.5164602626 0.376001261429037
  2 8 7 32428.9675339846 0.38014204794532
  1 9 7 56537.5281037649 0.279568520131853
  2 9 7 58396.4116006276 0.427366030691537
  1 10 7 22155.9923924981 0.223430096705578
  2 10 7 6205.33971753507 0.248773075316019
  1 11 7 89247.1185440485 0.212720515437525
  2 11 7 9995.14704257557 0.25363203301826
  1 12 7 111134.584707912 0.222168779300385
  2 12 7 11753.7404041336 0.187773345626693
  1 13 7 30623.6535432931 0.394113240257454
  2 13 7 50308.6996081401 0.423618201694685
  1 14 7 138845.649606292 0.310035034727007
  2 14 7 157535.719676421 0.327069686277164
  1 15 7 67295.7069708245 0.378629084128514
  2 15 7 25320.0321498057 0.391316523019912
  1 16 7 228706.203712658 0.494427832556011
  2 16 7 25772.3227944115 0.376280830351703
  1 17 7 162479.022955553 0.759062286891916
  2 17 7 28108.9661832863 0.665352569827422
  1 18 7 176197.595310639 0.383150869515862
  2 18 7 50443.7609690004 0.433685089735353
  1 19 7 167405.038122172 0.48934963094834
  2 19 7 58373.2972773368 0.392371299771634
  1 20 7 142219.509814725 0.382452035825211
  2 20 7 95540.9473613959 0.333798529002863
  1 21 7 140316.00665903 0.566792532611316
  2 21 7 141665.185286119 0.868042030585988
  1 22 7 73534.8702842718 0.381518572031255
  2 22 7 28103.977588114 0.445144789260538
  1 23 7 325835.394391031 0.438380584739347
  2 23 7 332752.009623757 0.947226139495183
  1 24 7 160546.428613499 0.482345652338289
  2 24 7 69665.2066534316 0.377075764230608
  1 25 7 356504.711580177 0.420835086749712
  2 25 7 94275.9809585205 0.614716212748607
  1 26 7 142314.492397869 0.515165860253858
  2 26 7 131338.500899175 0.704031323768783
  1 27 7 55559.0898928084 0.559532625975744
  2 27 7 59570.343507244 0.319774204956139
  1 28 7 95967.9017595028 0.479008946214672
  2 28 7 52551.8978841428 0.41351869139049
  1 29 7 103830.299998693 0.429419179801904
  2 29 7 86399.3072566897 0.387615780132326
  1 30 7 130608.596037117 0.477074256852948
  2 30 7 95588.5241927834 0.315868813200741
  1 31 7 344527.484984134 0.410621521476155
  2 31 7 106123.846677794 0.630050999524052
  1 32 7 151939.013281378 0.294672690077384
  2 32 7 87016.7181115442 0.335469505128288
  1 33 7 80397.501997021 0.477447511398437
  2 33 7 12762.3378619233 0.407625761955908
  1 34 7 259418.839097941 0.384568504019134
  2 34 7 7953.11490178497 0.43049173366256
  1 35 7 127568.447497014 0.333261603198005
  2 35 7 126597.562113206 0.843960441627036
  1 36 7 165479.195767379 0.685474246042822
  2 36 7 25036.6737635146 0.429620783824035
  1 37 7 118164.387969953 0.286882992344226
  2 37 7 5456.86368593668 0.81343687860715
  1 38 7 500351.971056598 0.371822434434906
  2 38 7 15257.4249545669 0.53327636373572
  1 39 7 265122.951092755 0.592639130460935
  2 39 7 15651.6250150368 0.590339711107796
  1 40 7 210241.829342584 0.374062101432949
  2 40 7 4942.25388294298 0.701775131617819
  1 41 7 235384.502561004 0.304499664309564
  2 41 7 1121.73881210345 0.210828956182955
  1 42 7 115137.251336203 0.233962995093855
  2 42 7 1435.20564555612 0.329779252894958
  1 43 7 170784.216719193 0.270006842918168
  2 43 7 859.096280564145 0.460124990024536
  1 44 7 128129.745302278 0.350007507053818
  2 44 7 6538.74950438044 0.837656243552001
  1 45 7 778185.884181539 0.34274593698132
  2 45 7 1785.85003907818 0.291986952078346
  1 46 7 339907.802016813 0.261906583866089
  2 46 7 1600.77546903312 0.425399553458769
  1 47 7 173454.512434939 0.417429035160016
  2 47 7 128723.56068924 0.287702894520317
  1 48 7 153832.634420754 0.441211421515246
  2 48 7 2123.51171333678 0.866971810340233
  1 49 7 182687.977090179 0.495234601454268
  2 49 7 130235.324712589 0.556663444153977
  1 50 7 105777.312044068 0.237858203733512
  2 50 7 282.74567698493 0.295404104464232
  1 51 7 172195.371940695 0.327346172729995
  2 51 7 46056.3777245781 0.994030515469621
  1 52 7 339645.544605645 0.368315456462939
  2 52 7 322.441388400242 0.461505384764764
  1 1 9 9320.98356035714 0.180214810216744
  2 1 9 11331.2777909402 0.255814205780037
  1 2 9 8288.45992977987 0.206567113778341
  2 2 9 25136.8832251272 0.199351460951438
  1 3 9 14753.0387023733 0.236785086816489
  2 3 9 15910.9632528239 0.322503754489965
  1 4 9 6209.38413329102 0.260838536110752
  2 4 9 20556.8222966217 0.215734371990909
  1 5 9 15857.996554843 0.193369492945833
  2 5 9 21173.3262433052 0.223312429636212
  1 6 9 28869.7606577431 0.202285018038182
  2 6 9 15625.5727577588 0.191126137345296
  1 7 9 11032.3246197472 0.175096079898041
  2 7 9 12158.5346241061 0.186859490921581
  1 8 9 8588.44038326448 0.277263524450818
  2 8 9 9261.89650133744 0.186332139736047
  1 9 9 15844.2901778397 0.38739086166985
  2 9 9 11840.1012346029 0.267401869967672
  1 10 9 22924.9529653173 0.169679957837347
  2 10 9 16819.1313499566 0.269525588828463
  1 11 9 31637.0496632039 0.151455465231613
  2 11 9 46702.2426289995 0.608857030524844
  1 12 9 45641.1172977701 0.194025128027319
  2 12 9 10625.1235835104 0.209224466280901
  1 13 9 38217.5535913094 0.192597423441899
  2 13 9 16274.7407258102 0.223179102338954
  1 14 9 47291.243535829 0.24323345484368
  2 14 9 19615.0336629068 0.216468880082641
  1 15 9 60577.0684658198 0.242425409027967
  2 15 9 34088.6538072909 0.167457398131888
  1 16 9 99723.6429226287 0.268675656884033
  2 16 9 91075.7798519486 0.20330059779376
  1 17 9 98202.9489909923 0.196228277363285
  2 17 9 60072.113140614 0.198130412273185
  1 18 9 59587.7618766637 0.24004692412856
  2 18 9 108762.338056693 0.203948973274238
  1 19 9 90245.3800145772 0.307374127376939
  2 19 9 59821.3646869886 0.160257038672619
  1 20 9 72134.0030076487 0.158928722064625
  2 20 9 76344.3108767854 0.197322162219524
  1 21 9 48805.1449160049 0.209025597619183
  2 21 9 101543.934939199 0.187797177382902
  1 22 9 40174.4851999737 0.203077655979132
  2 22 9 57578.6459640832 0.210025739334857
  1 23 9 69912.981284012 0.238934272627024
  2 23 9 47905.5716884567 0.19790402667063
  1 24 9 35352.8287874794 0.171026119399881
  2 24 9 47293.1082538974 0.254921461455385
  1 25 9 26166.6773506468 0.179364365238368
  2 25 9 40734.3877238693 0.232519412860032
  1 26 9 13843.8739079854 0.210244228568226
  2 26 9 24132.9863351114 0.168595443147695
  1 27 9 13343.9309390123 0.170031592700112
  2 27 9 7008.96885198928 0.200954562062425
  1 28 9 14960.01072983 0.193899133648252
  2 28 9 10174.9322466656 0.211651946225868
  1 29 9 13974.5239218275 0.187538593821919
  2 29 9 21892.8311815977 0.255011166995516
  1 30 9 15990.3075637733 0.247819650551941
  2 30 9 9981.80280130536 0.296473565029388
  1 31 9 31392.2696905458 0.223350929133537
  2 31 9 7936.87309354017 0.343859246151185
  1 32 9 45586.1977653508 0.31577438886296
  2 32 9 14675.4046038012 0.374547789844126
  1 33 9 43563.6721169484 0.255676794033008
  2 33 9 17645.579813786 0.296475621294422
  1 34 9 34795.2621769512 0.218681732051081
  2 34 9 15611.1809866011 0.333113686961304
  1 35 9 71894.9526669284 0.250062103391272
  2 35 9 8733.11891567188 0.26727423098408
  1 36 9 24281.3055477412 0.187227046866282
  2 36 9 9513.63083379949 0.360007266538769
  1 37 9 41131.1023657418 0.199043344461057
  2 37 9 7431.67484820234 0.230768025002651
  1 38 9 20690.5871758552 0.188480512640641
  2 38 9 5751.48553136518 0.30647754560056
  1 39 9 21493.1225370016 0.235358154763385
  2 39 9 9090.68344762643 0.30844290831553
  1 40 9 23799.1563874652 0.262549839315709
  2 40 9 21332.3585661268 0.619799566237032
  1 41 9 64393.3996641054 0.255413075600386
  2 41 9 15362.1081175873 0.410015896359536
  1 42 9 55571.2016149149 0.237437089975973
  2 42 9 26399.9869118317 0.251840565749012
  1 43 9 42163.2358868137 0.17314512758374
  2 43 9 8596.79468993506 0.265564054084483
  1 44 9 35904.8949951036 0.261674582034448
  2 44 9 18860.2891942521 0.278786765149086
  1 45 9 25413.9778206275 0.178342474685171
  2 45 9 16276.3165331206 0.22878225695429
  1 46 9 15586.734663437 0.161615623260197
  2 46 9 8273.83356896065 0.234262915890891
  1 47 9 38968.5733141979 0.584716058055215
  2 47 9 8625.12010065454 0.231360777378904
  1 48 9 35312.2552812851 0.182474012404665
  2 48 9 12078.5924782719 0.148335019588378
  1 49 9 45746.0866475161 0.185797139191474
  2 49 9 10441.3589748996 0.233973080411629
  1 50 9 44660.9504560255 0.170487085116875
  2 50 9 24181.2195147724 0.198266501217541
  1 51 9 39020.3383160581 0.193030233430065
  2 51 9 23452.9322789369 0.179523556716689
  1 52 9 57565.9657081482 0.256489608700532
  2 52 9 23003.6214766459 0.192375685928691
  1 1 2 173.78546770499 0.301518592359512
  2 1 2 20.8122112533798 1
  1 2 2 253.659942284783 0.321452575093164
  2 2 2 10.0966909053955 1
  1 3 2 44.1147725712667 0.488140604744166
  2 3 2 670.544543083254 0.489107723332368
  1 4 2 409.925650759059 0.625866728630715
  2 4 2 29.5179728234211 1
  1 5 2 194.730507282867 0.613210325662762
  2 5 2 174.999410310282 0.579022747065839
  1 6 2 10.6994784221356 1
  2 6 2 1456.40911210167 0.596350645700673
  1 7 2 39.4795247286336 0.778771631083934
