full time series of predicted survey index
survey year spp area pred_survey
1 1 1 1 22962.9
1 1 2 1 234.974
1 1 3 1 136.535
1 1 4 1 1487.45
1 1 5 1 6713.62
1 1 6 1 2717.63
1 1 7 1 279156
1 1 8 1 7964.94
1 1 9 1 47371.1
1 1 10 1 4334.19
1 2 1 1 23079.1
1 2 2 1 213.496
1 2 3 1 117.775
1 2 4 1 1554.93
1 2 5 1 7494.1
1 2 6 1 2662.76
1 2 7 1 254714
1 2 8 1 7984.7
1 2 9 1 49899.7
1 2 10 1 4277.33
1 3 1 1 20843.3
1 3 2 1 183.586
1 3 3 1 102.639
1 3 4 1 1572.34
1 3 5 1 8099.34
1 3 6 1 2688.18
1 3 7 1 232821
1 3 8 1 7112.94
1 3 9 1 49933.9
1 3 10 1 4274.75
1 4 1 1 21771.8
1 4 2 1 155.859
1 4 3 1 90.8919
1 4 4 1 1557.15
1 4 5 1 8465.31
1 4 6 1 2707.52
1 4 7 1 212999
1 4 8 1 6784
1 4 9 1 49348.8
1 4 10 1 4815.75
1 5 1 1 19957
1 5 2 1 136.826
1 5 3 1 82.5774
1 5 4 1 1522.42
1 5 5 1 8665.19
1 5 6 1 2637.11
1 5 7 1 195635
1 5 8 1 6573.62
1 5 9 1 48267.9
1 5 10 1 4343.32
1 6 1 1 18830.3
1 6 2 1 127.927
1 6 3 1 75.4364
1 6 4 1 1486.81
1 6 5 1 8779.64
1 6 6 1 2482.97
1 6 7 1 179391
1 6 8 1 6037.18
1 6 9 1 47221.5
1 6 10 1 3183.54
1 7 1 1 18650.8
1 7 2 1 138.736
1 7 3 1 71.0143
1 7 4 1 1443.42
1 7 5 1 8780.35
1 7 6 1 2418.53
1 7 7 1 165098
1 7 8 1 5601.74
1 7 9 1 46711.3
1 7 10 1 2823.98
1 8 1 1 16097.4
1 8 2 1 199.226
1 8 3 1 68.8177
1 8 4 1 1374.41
1 8 5 1 8960.09
1 8 6 1 2509.02
1 8 7 1 152194
1 8 8 1 5116.5
1 8 9 1 45164
1 8 10 1 2457.92
1 9 1 1 15801.1
1 9 2 1 399.575
1 9 3 1 69.4437
1 9 4 1 1309.57
1 9 5 1 9011.59
1 9 6 1 2540.61
1 9 7 1 141324
1 9 8 1 4906.83
1 9 9 1 43717.8
1 9 10 1 1950.12
1 10 1 1 14704.1
1 10 2 1 716.44
1 10 3 1 72.8292
1 10 4 1 1242.57
1 10 5 1 9089.28
1 10 6 1 2504.38
1 10 7 1 175261
1 10 8 1 4607.94
1 10 9 1 42015.2
1 10 10 1 1530.54
1 11 1 1 13724.6
1 11 2 1 985.674
1 11 3 1 77.6448
1 11 4 1 1156.32
1 11 5 1 9166.49
1 11 6 1 2397.52
1 11 7 1 193188
1 11 8 1 4216.28
1 11 9 1 39951.1
1 11 10 1 2451.3
1 12 1 1 13028.2
1 12 2 1 1224.75
1 12 3 1 84.2693
1 12 4 1 1034.97
1 12 5 1 9184.95
1 12 6 1 2396.58
1 12 7 1 206843
1 12 8 1 4025.27
1 12 9 1 39380.8
1 12 10 1 3965.22
1 13 1 1 10295.3
1 13 2 1 1326.91
1 13 3 1 112.309
1 13 4 1 915.832
1 13 5 1 9157.35
1 13 6 1 2345.44
1 13 7 1 215037
1 13 8 1 3737.24
1 13 9 1 36593.9
1 13 10 1 2591.23
1 14 1 1 7486.78
1 14 2 1 1341.3
1 14 3 1 146.496
1 14 4 1 860.105
1 14 5 1 9150.28
1 14 6 1 2753.85
1 14 7 1 219024
1 14 8 1 3305.14
1 14 9 1 33967.1
1 14 10 1 2032.19
1 15 1 1 5321.28
1 15 2 1 1391.31
1 15 3 1 177.165
1 15 4 1 795.893
1 15 5 1 9194.13
1 15 6 1 3018.19
1 15 7 1 220259
1 15 8 1 2988.93
1 15 9 1 31885.1
1 15 10 1 1588.37
1 16 1 1 3503.16
1 16 2 1 1430.21
1 16 3 1 198.656
1 16 4 1 705.678
1 16 5 1 9368.96
1 16 6 1 3065.85
1 16 7 1 218706
1 16 8 1 2503.64
1 16 9 1 30449.4
1 16 10 1 1455.35
1 17 1 1 2551.53
1 17 2 1 1396.84
1 17 3 1 208.199
1 17 4 1 660.024
1 17 5 1 9499
1 17 6 1 2923.55
1 17 7 1 214151
1 17 8 1 3168.33
1 17 9 1 29552.7
1 17 10 1 1462.76
1 18 1 1 3448.02
1 18 2 1 1459.87
1 18 3 1 296.29
1 18 4 1 615.877
1 18 5 1 9622.57
1 18 6 1 2731.52
1 18 7 1 208147
1 18 8 1 3722
1 18 9 1 30289.9
1 18 10 1 2421.78
1 19 1 1 3962.16
1 19 2 1 1723.27
1 19 3 1 409.981
1 19 4 1 582.275
1 19 5 1 10045.9
1 19 6 1 2566.31
1 19 7 1 202859
1 19 8 1 4068.51
1 19 9 1 30579.7
1 19 10 1 3383.89
1 20 1 1 4016.08
1 20 2 1 1858.24
1 20 3 1 507.257
1 20 4 1 547.776
1 20 5 1 10402.7
1 20 6 1 2640.37
1 20 7 1 196616
1 20 8 1 4046.98
1 20 9 1 32781.7
1 20 10 1 4640.64
1 21 1 1 4178.34
1 21 2 1 1819.83
1 21 3 1 613.875
1 21 4 1 535.849
1 21 5 1 10747
1 21 6 1 2663.42
1 21 7 1 189821
1 21 8 1 4623.71
1 21 9 1 33988.5
1 21 10 1 6035.25
1 22 1 1 4037.37
1 22 2 1 1774.25
1 22 3 1 695.466
1 22 4 1 508.686
1 22 5 1 10964.4
1 22 6 1 2568.49
1 22 7 1 181998
1 22 8 1 5164.03
1 22 9 1 35353.9
1 22 10 1 6424.98
1 23 1 1 4102.46
1 23 2 1 1896.16
1 23 3 1 750.845
1 23 4 1 488.461
1 23 5 1 11544.5
1 23 6 1 2534.14
1 23 7 1 174498
1 23 8 1 5376.77
1 23 9 1 37056.8
1 23 10 1 5486.68
1 24 1 1 3579.09
1 24 2 1 1947.96
1 24 3 1 773.755
1 24 4 1 473.745
1 24 5 1 12293.2
1 24 6 1 2498.34
1 24 7 1 167029
1 24 8 1 4983.17
1 24 9 1 33891.1
1 24 10 1 4381.98
1 25 1 1 3155.59
1 25 2 1 1851.15
1 25 3 1 763.081
1 25 4 1 452.528
1 25 5 1 13391.6
1 25 6 1 2483.16
1 25 7 1 159187
1 25 8 1 4639.67
1 25 9 1 35276.7
1 25 10 1 3544.16
1 26 1 1 2327.97
1 26 2 1 1765.88
1 26 3 1 741.232
1 26 4 1 413.07
1 26 5 1 17966.4
1 26 6 1 2541.54
1 26 7 1 152102
1 26 8 1 4072.77
1 26 9 1 31576.1
1 26 10 1 3017.75
1 27 1 1 2274.32
1 27 2 1 1794.15
1 27 3 1 710.84
1 27 4 1 397.507
1 27 5 1 24145.4
1 27 6 1 2693.76
1 27 7 1 145573
1 27 8 1 3621.09
1 27 9 1 32180.9
1 27 10 1 1723.56
1 28 1 1 2374.88
1 28 2 1 1835.52
1 28 3 1 670.783
1 28 4 1 363.665
1 28 5 1 29249.3
1 28 6 1 2782.23
1 28 7 1 139186
1 28 8 1 3493.21
1 28 9 1 33088.2
1 28 10 1 1245.92
1 29 1 1 2528.27
1 29 2 1 1786.71
1 29 3 1 622.417
1 29 4 1 329.04
1 29 5 1 33718
1 29 6 1 2857.68
1 29 7 1 132753
